,project_id,project_name,TotalUnitsCount,AvailableUnitsCount,city_id,region_id,district,property_year_of_built,BookingsCount,PercentageUnitsBooked,active_payment_by_cash,active_payment_by_loan,project_latitude,project_longitude,publish_date,code,completion_percentage,mega_project_id,unit_code,moh_price,price,block_number,apartment_number,building_number,unit_size,living_area,floor,floor_count,unit_type,bedroom_count,bathroom_count,selections_count,bookings_count,comment,apartment_type,zone_number,number_of_rooms,master_bedroom_size,living_room_size,kitchen_size,guestroom_size,FirstPrice,partners,web,mobile,beneficiary,non_bene,construction_status,project_name_eng,district_eng,unit_type_eng,apartment_type_eng
0,77,تبوك - منازل العصرية - درة تبوك,243,115,41,11,المصيف,,1046,50.617284,1,1,28.455361,36.51625,2021-01-25,01-11-0003,0.0,,11-1104-2608-05-00000000802,267922.79796,330190.0,T5,T5-D-G-2,D,152.5,19.76,0,,شقة,3,4,0,0,نموذج 3-3,شقة,1,3.0,18.7,16.0,8.8,23.0,267922.79796,1,1,1,0,0,0,Tabuk - Modern Homes - Durat Tabuk,Summer,Apartment,Apartment
1,77,تبوك - منازل العصرية - درة تبوك,243,115,41,11,المصيف,,1046,50.617284,1,1,28.455361,36.51625,2021-01-25,01-11-0003,0.0,,11-1104-2608-05-00000000813,305695.52029,376638.0,T5,T5-D-3-13,D,174.0,21.92,3,,شقة,3,4,0,0,نموذج 3-3,شقة,1,3.0,18.7,13.6,8.8,15.6,344023.0,1,1,1,0,0,0,Tabuk - Modern Homes - Durat Tabuk,Summer,Apartment,Apartment
2,77,تبوك - منازل العصرية - درة تبوك,243,115,41,11,المصيف,,1046,50.617284,1,1,28.455361,36.51625,2021-01-25,01-11-0003,0.0,,11-1104-2608-05-00000000817,305695.52029,376638.0,T5,T5-D-4-17,D,174.0,21.92,4,,شقة,3,4,0,0,نموذج 3-3,شقة,1,3.0,18.7,13.6,8.8,15.6,305695.52029,1,1,1,0,0,0,Tabuk - Modern Homes - Durat Tabuk,Summer,Apartment,Apartment
3,77,تبوك - منازل العصرية - درة تبوك,243,115,41,11,المصيف,,1046,50.617284,1,1,28.455361,36.51625,2021-01-25,01-11-0003,0.0,,11-1104-2608-05-00000000821,305695.52029,376638.0,T5,T5-D-5-21,D,174.0,21.92,5,,شقة,3,4,0,0,نموذج 3-3,شقة,1,3.0,18.7,13.6,8.8,15.6,305695.52029,1,1,1,0,0,0,Tabuk - Modern Homes - Durat Tabuk,Summer,Apartment,Apartment
4,77,تبوك - منازل العصرية - درة تبوك,243,115,41,11,المصيف,,1046,50.617284,1,1,28.455361,36.51625,2021-01-25,01-11-0003,0.0,,11-1104-2608-05-00000000825,305695.52029,376638.0,T5,T5-D-6-25,D,174.0,21.92,6,,شقة,3,4,0,0,نموذج 3-3,شقة,1,3.0,18.7,13.6,8.8,15.6,305695.52029,1,1,1,0,0,0,Tabuk - Modern Homes - Durat Tabuk,Summer,Apartment,Apartment
5,77,تبوك - منازل العصرية - درة تبوك,243,115,41,11,المصيف,,1046,50.617284,1,1,28.455361,36.51625,2021-01-25,01-11-0003,0.0,,11-1104-2608-05-00000000829,305695.52029,376638.0,T5,T5-D-7-29,D,174.0,21.92,7,,شقة,3,4,1,1,نموذج 3-3,شقة,1,3.0,18.7,13.6,8.8,15.6,305695.52029,1,1,1,0,0,0,Tabuk - Modern Homes - Durat Tabuk,Summer,Apartment,Apartment
6,77,تبوك - منازل العصرية - درة تبوك,243,115,41,11,المصيف,,1046,50.617284,1,1,28.455361,36.51625,2021-01-25,01-11-0003,0.0,,11-1104-2608-05-00000000836,219608.85079,299500.0,T6,T6-A-G-4,A,125.0,13.75,0,,شقة,2,4,1,1,نموذج 2-2,شقة,1,2.0,18.7,13.6,8.8,15.2,299500.0,1,1,1,0,0,0,Tabuk - Modern Homes - Durat Tabuk,Summer,Apartment,Apartment
7,77,تبوك - منازل العصرية - درة تبوك,243,115,41,11,المصيف,,1046,50.617284,1,1,28.455361,36.51625,2021-01-25,01-11-0003,0.0,,11-1104-2608-05-00000000837,226987.70817,299500.0,T6,T6-A-1-5,A,129.2,13.75,1,,شقة,2,4,1,1,نموذج 2-2,شقة,1,2.0,18.7,13.6,8.8,15.6,299500.0,1,1,1,0,0,0,Tabuk - Modern Homes - Durat Tabuk,Summer,Apartment,Apartment
8,77,تبوك - منازل العصرية - درة تبوك,243,115,41,11,المصيف,,1046,50.617284,1,1,28.455361,36.51625,2021-01-25,01-11-0003,0.0,,11-1104-2608-05-00000000838,237880.30717,299500.0,T6,T6-A-1-6,A,135.4,13.75,1,,شقة,2,4,1,1,نموذج 2-2,شقة,1,2.0,18.7,16.0,8.8,17.6,299500.0,1,1,1,0,0,0,Tabuk - Modern Homes - Durat Tabuk,Summer,Apartment,Apartment
9,77,تبوك - منازل العصرية - درة تبوك,243,115,41,11,المصيف,,1046,50.617284,1,1,28.455361,36.51625,2021-01-25,01-11-0003,0.0,,11-1104-2608-05-00000000840,219608.85079,299500.0,T6,T6-A-1-8,A,125.0,13.75,1,,شقة,2,4,0,0,نموذج 2-2,شقة,1,2.0,18.7,13.6,8.8,15.2,299500.0,1,1,1,0,0,0,Tabuk - Modern Homes - Durat Tabuk,Summer,Apartment,Apartment
